qa_id,timestamp,question,answer,sources_used,user_rating
7c35a03daee0,2026-03-17T09:00:15.783407,cara jadi pengarah,"I couldn't find this in the documents I have access to. For this specific question, I'd recommend checking directly with SSM or consulting a licensed company secretary. The CONTEXT provided does not contain information about the procedure to become a director.","Guidelines Relating to the Obligations of Company Secretary as a Reporting Institution Under the Anti-Money Laundering, Anti-Terrorism Financing and Proceeds of Unlawful Activities Act 2001 (AMLA), FAQs ON THE COMPANIES (AMENDMENT) BILL 2019, Direction of the Minister under paragraph 26(1)(d) and section 564 (Gazette Notification for Application of Company Name), Companies (Amendment) Act 2019",1
b8f75d7de67b,2026-03-17T09:00:34.452531,how to register company,"I couldn't find this in the documents I have access to. For this specific question, I'd recommend checking directly with SSM or consulting a licensed company secretary. The CONTEXT provided does not contain information about the procedure to register a company.","Guidelines on Company Names (also refer Gazette Notification for Application of Company Name), Companies Regulations 2017, Guidelines For Striking Off Section 549(a), Companies Act 2016 (Act 777) - 1 Aug 2022, Registration of Businesses Act 1956 (Act 197) - 1 Jun 2017",1
6b9c5a3463b9,2026-03-17T12:10:53.843303,mcm mana nak daftar bisnes,"To register a business in Malaysia, you must apply to the Registrar under the **Registration of Businesses Act 1956**. Here’s how to proceed:  

1. **Apply within 30 days**: The person responsible for the business must apply to the Registrar **no later than 30 days from the date the business starts** (**Section 5(1), Registration of Businesses Act 1956**).  

2. **Complete the prescribed form**: The application must be submitted in the **prescribed form** and include the following details:  
   - The business’s name (**Section 5(2)(a)**).  
   - The nature of the business (**Section 5(2)(b)**).  
   - The commencement date of the business (**Section 5(2)(c)**).  
   - The address of the business’s main place of operation. If the business has multiple branches, include all branch addresses (**Section 5(2)(d)**).  
   - For partnerships, provide details of the partnership agreement (if any) (**Section 5(2)(e)**).  
   - Full names, positions, and dates of entry for all associates of the business (**Section 5(2)(f)**).  
   - Any other information the Registrar may require (**Section 5(2)(g)**).  

3. **Submit the application**: Ensure all required information is accurate and complete. The Registrar will process the application and register the business if all criteria are met.  

This process ensures your business is legally recognized and compliant with Malaysian law. Let me know if you need further details!","Guidelines Relating to the Obligations of Company Secretary as a Reporting Institution Under the Anti-Money Laundering, Anti-Terrorism Financing and Proceeds of Unlawful Activities Act 2001 (AMLA), Direction of the Minister under paragraph 26(1)(d) and section 564 (Gazette Notification for Application of Company Name), FAQs ON THE COMPANIES (AMENDMENT) BILL 2019, Companies (Amendment) Act 2019, ACT ROB 1956, Guidelines on Asset Management (section 556 and 558) (Revised), Registration of Businesses Act 1956 (Act 197) - 1 Jun 2017",5
bd4316cde379,2026-04-01T11:57:56.852494,how to remove foreign company,"To remove a foreign company from the Malaysian registry, follow these steps:  

1. **Notify the Registrar within 7 days**: If the foreign company ceases to have a place of business or carry on business in Malaysia, it must lodge a notice with the Registrar within **seven days** from the date of ceasing operations. This notice formally informs the Registrar of the company’s discontinuation of activities in Malaysia. **(Section 578(1), Companies Act 2016)**  

2. **Name removal after 12 months**: The Registrar will remove the foreign company’s name from the register **12 months after the notice is lodged**. This means the company’s name will no longer appear in the official register, effectively deregistering it from Malaysian records. **(Section 578(2), Companies Act 2016)**  

No additional fees or forms are mentioned in my knowledge base for this process. Ensure the notice is submitted promptly to avoid penalties or complications.","Companies Act 2016 (Act 777) - 1 Aug 2022, Guidelines on Company Names (also refer Gazette Notification for Application of Company Name), Guidelines For Striking Off Section 549(a), FAQ - RETURN OF ALLOTMENT OF SHARES (ROA) AND REGISTER OF MEMBERS (ROM), FAQs ON THE COMPANIES (AMENDMENT) ACT 2024 [ACT A1701], Guidelines Relating to the Obligations of Company Secretary as a Reporting Institution Under the Anti-Money Laundering, Anti-Terrorism Financing and Proceeds of Unlawful Activities Act 2001 (AMLA), Companies (Amendment) Act 2024 {Act A1701}",1
ee9da809f7b1,2026-04-01T14:39:47.910309,give me the form,"To complete the procedure, you must submit the following forms **exactly as named**:

1. **[Notification Of Appointment Of First Secretary](https://www.ssm.com.my/Pages/Legal_Framework/Document/Format%20S58%20236(2)%20Appointment%20First%20Cosec.pdf)**  
   This form is required to formally appoint the first company secretary. The applicant must fill in all particulars and attach the required documents. **(FAQ - NOTIFICATION OF PARTICULARS AND CHANGE IN REGISTER OF DIRECTORS, MANAGER AND SECRETARIES)**  

2. **[Notification Of Change In The Register Of Directors, Managers And Secretaries](https://www.ssm.com.my/Pages/Legal_Framework/Document/notification%20of%20particulars%20changes%20of%20directors%20managers%20secretaries_151119.pdf) (Form 49)**  
   This form is used to report changes in the register of directors, managers, or secretaries. It must be lodged through the electronic filing system accessible via the SSM portal. **(FAQ - NOTIFICATION OF PARTICULARS AND CHANGE IN REGISTER OF DIRECTORS, MANAGER AND SECRETARIES)**  

Both forms are part of the mandatory documentation for updating the register of key company officials.","FAQ - INCORPORATION, FAQ - ANNUAL RETURN, FAQ - REGISTRATION OF SECRETARY, FAQ - NOTIFICATION OF PARTICULARS AND CHANGE IN REGISTER OF DIRECTORS, MANAGER AND SECRETARIES, FAQ - ANNUAL RETURNS AND FINANCIAL REPORTING, FAQ - RETURN OF ALLOTMENT OF SHARES (ROA) AND REGISTER OF MEMBERS (ROM), Guidelines for the Adjudication of Proof of Debts under Section 369B of the Companies Act 2016 and other related matters",1
c32e4214773f,2026-04-01T15:00:18.429004,how to change to limited company,"To change your company to a limited company, follow these steps under **Section 40(1), Companies Act 2016**:

1. **Pass a special resolution** to convert from an unlimited company to a limited company. This resolution must specify the alteration to the company’s name (if applicable) and the terms of the conversion.  
   **(Section 40(1), Companies Act 2016)**  

2. **Lodge a notice for conversion** with the Registrar of Companies. The notice must include:  
   - The company’s name and registration number.  
   - Details of the name change (if applicable).  
   - The resolution approving the conversion.  
   **(Section 40(1), Companies Act 2016)**  

3. **Submit the required form**: **[Application For Change Of Name](https://www.ssm.com.my/Pages/Legal_Framework/Document/Application%20for%20change%20of%20name%20s%2028(4)%20r1.pdf) (Form 13A & 11)**. This form is mandatory to formalize the conversion process.  
   **(Form 13A & 11, Companies Regulations 2017)**  

4. **Pay the conversion fee**: RM500.00 for converting an unlimited company to a limited company. This fee is specified under **Regulation 7(6), Companies Regulations 2017**.  

5. **Wait for the Registrar’s endorsement**: Upon lodgement, the Registrar will:  
   - Amend the register to reflect the conversion.  
   - Issue a **notice of conversion** and cancel the previous registration certificate.  
   **(Section 40(2), Companies Act 2016)**  

The conversion takes effect on the date of the notice of conversion, and the company’s constitution will be updated accordingly.  
**(Section 40(4), Companies Act 2016)**","Companies Regulations 2017, Companies Act 2016 (Act 777) - 1 Aug 2022, Practice Directive 2/2017 (Revised) - Notification of Change in the Business Address (including Branches) and/or Nature of Business, Companies Act 2016: Practice Note No. 6/2024: Notification of Approval as an Approved Liquidator, Companies (Licence For Omission Of 'Berhad' Or 'Bhd.') Regulations 2025, Companies (Practising Certificate For Secretaries) Regulations 2019, Guidelines on Company Names (also refer Gazette Notification for Application of Company Name)",1
6a551940e890,2026-04-01T15:22:02.625267,how to change to private company,"To change your company to a private company, follow these steps under **Section 41(1) and (2), Companies Act 2016**:

1. **Pass a special resolution** to convert from a public company to a private company. This resolution must be approved by at least 75% of the shareholders (per **Section 14(1), Companies Act 2016**).  
2. **Lodge the Notice of Conversion** with the Registrar using **[Form 11 & 18](https://www.ssm.com.my/Pages/Legal_Framework/Document/10._notice_of_conversion_from_a_private_company_to_a_public_company_-_section_41(2).pdf)** (exact names as required). The notice must specify an appropriate alteration to the company’s name to reflect its new status (as per **Section 41(1), Companies Act 2016**).  
3. Submit a **statement in lieu of prospectus** (if applicable) and a **statutory declaration** verifying compliance with **Section 190(2)(b)** of the Act (refer to **Section 41(2), Companies Act 2016**).  
4. Pay the conversion fee of **RM500** (as per **Regulation 8, Companies Regulations 2017**).  

The Registrar will then update the register and issue a notice of conversion, cancelling the previous certificate of incorporation (per **Section 41(3), Companies Act 2016**). Ensure the new name complies with **Guidelines on Company Names** (e.g., avoid restricted terms like ""Bank"" or ""Insurance"" unless authorized).  

For the complete details, I’d recommend confirming directly with SSM or consulting a licensed company secretary.

You can access the relevant form here: [Statutory Declaration On Entitlement To Commence Business By A Public Company/Conversion Of Company Status From Private Company To Public Company](https://www.ssm.com.my/Pages/Legal_Framework/Document/s%20190(3)(4),%2041(2)(c)_Statutory_declaration_on_entitlement_to_commence_business%20r2.pdf)","Companies Act 2016 (Act 777) - 1 Aug 2022, Companies Regulations 2017, Companies (Practising Certificate For Secretaries) Regulations 2019, FAQ - ACCOUNTS, AUDIT, ANNUAL GENERAL MEETINGS, Practice Directive 2/2017 (Revised) - Notification of Change in the Business Address (including Branches) and/or Nature of Business, Guidelines on Company Names (also refer Gazette Notification for Application of Company Name), Companies Act 2016 : Practice Note No. 8/2024: Clarification on Whether a Society Can Be A Member of a Company, Companies Act 2016 : Practice Note No. 4/2018: Procedures on Resignation of Secretary under Section 237 of the Companies Act 2016, FAQ - MEETINGS AND DECISION MAKING, Companies (Amendment) Act 2024 {Act A1701}",1
863c385902a4,2026-04-01T15:39:06.538353,how to change to public company,"To change your company to a public company, follow these steps under **Section 41(2), Companies Act 2016**:

1. **Pass a special resolution** to convert the company to a public company. This resolution must be approved by the shareholders.  
2. **Prepare the required forms**:  
   - **[Notice Of Conversion From A Private Company To A Public Company](https://www.ssm.com.my/Pages/Legal_Framework/Document/10._notice_of_conversion_from_a_private_company_to_a_public_company_-_section_41(2).pdf) (Form 11 & 18)**: This form specifies the name change and other details of the conversion.  
   - **[Statutory Declaration On Entitlement To Commence Business By A Public Company/Conversion Of Company Status From Private Company To Public Company](https://www.ssm.com.my/Pages/Legal_Framework/Document/s%20190(3)(4),%2041(2)(c)_Statutory_declaration_on_entitlement_to_commence_business%20r2.pdf) (Form 18)**: This form includes a statutory declaration verifying compliance with legal requirements.  
3. **Submit the documents to the Registrar**: Along with the forms, include:  
   - A **statement in lieu of prospectus** (as required by Section 41(2)(b)).  
   - The **fee of RM500.00** for lodgement under **Regulation 7, Companies Regulations 2017** (item 7).  
4. **Wait for the Registrar’s approval**: Upon lodgement, the Registrar will endorse the register and issue a notice of conversion, cancelling the previous registration certificate.  

The conversion takes effect on the issue of the notice of conversion under **Section 41(4), Companies Act 2016**. Ensure all forms are submitted exactly as named to avoid delays.","Companies Act 2016 (Act 777) - 1 Aug 2022, Companies Regulations 2017, FAQ - INCORPORATION, Companies (Amendment) Act 2024 {Act A1701}, FAQ - CONSTITUTION (MEMORANDUM & ARTICLES OF ASSOCIATION), Companies Act 2016 : Practice Note No. 8/2024: Clarification on Whether a Society Can Be A Member of a Company, FAQ - ACCOUNTS, AUDIT, ANNUAL GENERAL MEETINGS, Checklist for CLBG (1-8), FAQ - MEETINGS AND DECISION MAKING, Companies (Amendment) Regulations 2024",5
68061e071c38,2026-04-01T15:42:14.302280,how to change to private company,"To change your company to a private company, follow these steps under **Section 41(1) and (2), Companies Act 2016**:

1. **Pass a special resolution** to convert from a public company to a private company. This resolution must be approved by at least 75% of the shareholders (as per the company’s articles of association).  
2. **Lodge a notice of conversion** with the Registrar using **[Form 11 & 18](https://www.ssm.com.my/Pages/Legal_Framework/Document/10._notice_of_conversion_from_a_private_company_to_a_public_company_-_section_41(2).pdf)** ([Statutory Declaration On Entitlement To Commence Business By A Public Company/Conversion Of Company Status From Private Company To Public Company](https://www.ssm.com.my/Pages/Legal_Framework/Document/s%20190(3)(4),%2041(2)(c)_Statutory_declaration_on_entitlement_to_commence_business%20r2.pdf)). The notice must specify the appropriate alteration to your company’s name.  
3. **Pay the conversion fee** of **RM500.00** (Regulation 7, Companies Regulations 2017, point 7).  
4. **Submit a statement in lieu of prospectus** (if converting from a public to private company) and a statutory declaration verifying compliance with paragraph 190(2)(b) of the Act.  
5. Upon lodgement, the Registrar will endorse the register to record the conversion and issue a notice of conversion, cancelling the previous certificate of incorporation (Section 41(3), Companies Act 2016).  

The conversion takes effect on the issue of the notice of conversion. Ensure all forms are completed accurately to avoid delays.","Companies Act 2016 (Act 777) - 1 Aug 2022, Companies Regulations 2017, Companies (Practising Certificate For Secretaries) Regulations 2019, FAQ - ACCOUNTS, AUDIT, ANNUAL GENERAL MEETINGS, Practice Directive 2/2017 (Revised) - Notification of Change in the Business Address (including Branches) and/or Nature of Business, Guidelines on Company Names (also refer Gazette Notification for Application of Company Name), Companies Act 2016 : Practice Note No. 8/2024: Clarification on Whether a Society Can Be A Member of a Company, Companies Act 2016 : Practice Note No. 4/2018: Procedures on Resignation of Secretary under Section 237 of the Companies Act 2016, FAQ - MEETINGS AND DECISION MAKING, Companies (Amendment) Act 2024 {Act A1701}",1
b8d1aef08385,2026-04-01T15:51:13.655952,how to change to private company,"To change your company to a private company, follow these steps:  

1. **Pass a special resolution** to convert from a public company to a private company. This resolution must be approved by the company’s members.  
2. **Prepare the Notice of Conversion** (Form 11 & 18) and specify an appropriate alteration to the company’s name, as required under **Section 41(1) of the Companies Act 2016**.  
3. **Lodge the Statutory Declaration** ([Form 18](https://www.ssm.com.my/Pages/Legal_Framework/Document/s%20190(3)(4),%2041(2)(c)_Statutory_declaration_on_entitlement_to_commence_business%20r2.pdf)) with the Registrar, verifying compliance with paragraph 190(2)(b) of the Act. This declaration confirms the company meets the criteria for conversion.  
4. **Submit the documents** to the Registrar of Companies (SSM) along with the prescribed fee of **RM500** (Regulation 7, Companies Regulations 2017, item 7).  
5. **Wait for the Registrar’s notice of conversion**, which will confirm the change and cancel the previous certificate of incorporation.  

Ensure the company’s name is updated to reflect the conversion, as name changes are part of the process under **Section 41(1)**. All filings must be made in the exact form names provided (e.g., *[Notice Of Conversion From A Private Company To A Public Company](https://www.ssm.com.my/Pages/Legal_Framework/Document/10._notice_of_conversion_from_a_private_company_to_a_public_company_-_section_41(2).pdf) (Form 11 & 18)*).  

**Note**: If your company is already a private company, no action is required. This process applies only to public companies seeking to reclassify as private.  

**Citations**:  
- **Section 41(1), Companies Act 2016** (conversion from public to private).  
- **Regulation 7, Companies Regulations 2017** (fee for conversion).  
- **Form 11 & 18, Statutory Declaration** (required documents).","Companies Act 2016 (Act 777) - 1 Aug 2022, Companies Regulations 2017, Companies (Practising Certificate For Secretaries) Regulations 2019, FAQ - ACCOUNTS, AUDIT, ANNUAL GENERAL MEETINGS, Practice Directive 2/2017 (Revised) - Notification of Change in the Business Address (including Branches) and/or Nature of Business, Guidelines on Company Names (also refer Gazette Notification for Application of Company Name), Companies Act 2016 : Practice Note No. 8/2024: Clarification on Whether a Society Can Be A Member of a Company, Companies Act 2016 : Practice Note No. 4/2018: Procedures on Resignation of Secretary under Section 237 of the Companies Act 2016, FAQ - MEETINGS AND DECISION MAKING, Registration of Businesses Act 1956 (Act 197) - 1 Jun 2017",1
4c758980dda4,2026-04-01T16:09:20.657353,how to change to private company,"To change your company to a private company, follow these steps:  

1. **Pass a Special Resolution**: The company must resolve to convert from a public company to a private company. This requires approval by at least 75% of the members (Section 41(1), Companies Act 2016).  

2. **Lodge a Notice of Conversion**: Submit **[Notice Of Conversion From A Private Company To A Public Company](https://www.ssm.com.my/Pages/Legal_Framework/Document/10._notice_of_conversion_from_a_private_company_to_a_public_company_-_section_41(2).pdf) (Form

You can access the relevant form here: [Statutory Declaration On Entitlement To Commence Business By A Public Company/Conversion Of Company Status From Private Company To Public Company](https://www.ssm.com.my/Pages/Legal_Framework/Document/s%20190(3)(4),%2041(2)(c)_Statutory_declaration_on_entitlement_to_commence_business%20r2.pdf)","Companies Act 2016 (Act 777) - 1 Aug 2022, Companies Regulations 2017, Companies (Practising Certificate For Secretaries) Regulations 2019, FAQ - ACCOUNTS, AUDIT, ANNUAL GENERAL MEETINGS, Practice Directive 2/2017 (Revised) - Notification of Change in the Business Address (including Branches) and/or Nature of Business, Guidelines on Company Names (also refer Gazette Notification for Application of Company Name), Companies Act 2016 : Practice Note No. 8/2024: Clarification on Whether a Society Can Be A Member of a Company, Companies Act 2016 : Practice Note No. 4/2018: Procedures on Resignation of Secretary under Section 237 of the Companies Act 2016, FAQ - MEETINGS AND DECISION MAKING, Companies (Amendment) Act 2024 {Act A1701}",1
